time,raw_data
1717833151.684526,-8486.84
1717833151.7823093,-8486.78
1717833151.8730114,-8487.28
1717833151.966542,-8487.02
1717833152.0563214,-8486.94
1717833152.1505892,-8487.76
1717833152.2403274,-8487.26
1717833152.3324037,-8487.34
1717833152.423856,-8486.94
1717833152.5154274,-8486.16
1717833152.6071186,-8487.32
1717833152.6989176,-8486.96
1717833152.7901092,-8485.88
1717833152.88669,-8485.96
1717833152.9740503,-8486.50
1717833153.0650702,-8487.28
1717833153.1569333,-8486.98
1717833153.2536783,-8486.68
1717833153.3468366,-8486.84
1717833153.4322898,-8486.38
1717833153.5240133,-8486.02
1717833153.621377,-8485.38
1717833153.7147725,-8485.94
1717833153.8053825,-8486.34
1717833153.8962958,-8486.40
1717833153.9882317,-8486.74
1717833154.0823376,-8487.04
1717833154.1732743,-8486.56
1717833154.2659636,-8487.16
1717833154.357233,-8487.18
1717833154.4492173,-8486.40
1717833154.5349348,-8485.42
1717833154.6327014,-8485.06
1717833154.723718,-8486.16
1717833154.8179874,-8486.02
1717833154.907211,-8485.36
1717833155.0010629,-8485.00
1717833155.0904672,-8485.16
1717833155.1820552,-8485.60
1717833155.2743235,-8486.20
1717833155.365812,-8486.54
1717833155.4517195,-8485.44
1717833155.5490024,-8485.00
1717833155.6406684,-8485.44
1717833155.7320335,-8485.46
1717833155.8249428,-8485.54
1717833155.9209893,-8485.02
1717833156.013705,-8485.22
1717833156.1049864,-8485.78
1717833156.198283,-8484.72
1717833156.2889838,-8485.24
1717833156.382515,-8485.50
1717833156.4740248,-8485.66
1717833156.5658967,-8485.86
1717833156.6568594,-8485.46
1717833156.7491956,-8485.06
1717833156.8402653,-8484.90
1717833156.933405,-8484.88
1717833157.0240884,-8485.02
1717833157.1175814,-8484.92
1717833157.2075424,-8485.26
1717833157.2988741,-8484.68
1717833157.3874803,-8485.08
1717833157.4846535,-8486.54
1717833157.5740395,-8486.64
1717833157.6685898,-8484.56
1717833157.7519786,-8484.12
1717833157.8525913,-8484.58
1717833157.94088,-8485.54
1717833158.0364769,-8485.02
1717833158.1176732,-8527.86
1717833158.2204835,-8910.98
1717833158.3011525,-9130.00
1717833158.4007037,-9030.04
1717833158.4921534,-8992.10
1717833158.588671,-8991.74
1717833158.6817815,-8990.84
1717833158.7723572,-8990.18
1717833158.86511,-8989.94
1717833158.9574163,-8990.86
1717833159.0489666,-8991.70
1717833159.140641,-8991.58
1717833159.2323816,-8991.90
1717833159.3216465,-8992.44
1717833159.416928,-8992.14
1717833159.5096028,-8992.10
1717833159.59927,-8991.44
1717833159.6847243,-8992.04
1717833159.785005,-8991.68
1717833159.874242,-8991.12
1717833159.9681182,-8991.52
1717833160.0512323,-8991.84
1717833160.1520395,-8991.80
1717833160.2347085,-8991.02
1717833160.3327842,-8991.20
1717833160.4241333,-8990.84
1717833160.5199707,-8990.88
1717833160.6045835,-8991.16
1717833160.704993,-8991.22
1717833160.7851415,-8990.30
1717833160.882685,-8990.30
1717833160.9680347,-8990.88
1717833161.0719643,-8991.18
1717833161.165121,-8990.20
1717833161.2559628,-8989.92
1717833161.3489408,-8991.08
1717833161.4372866,-8991.38
1717833161.5328825,-8991.04
1717833161.6236136,-8991.32
1717833161.7164118,-8991.12
1717833161.8074121,-8990.72
1717833161.8993785,-8990.48
1717833161.9910026,-8990.38
1717833162.0847712,-8990.42
1717833162.1742845,-8991.34
1717833162.2660124,-8991.86
1717833162.355842,-8991.04
1717833162.4492497,-8990.46
1717833162.5410397,-8990.34
1717833162.635639,-8990.32
1717833162.7181537,-8990.08
1717833162.816091,-8989.90
1717833162.9111793,-8990.62
1717833163.0034947,-8991.40
1717833163.085316,-8991.18
1717833163.1874611,-8990.00
1717833163.2679186,-8989.92
1717833163.367873,-8990.26
1717833163.451873,-8990.14
1717833163.5554123,-8990.12
1717833163.6486497,-8990.16
1717833163.739369,-8990.04
1717833163.832187,-8990.20
1717833163.9237976,-8989.66
1717833164.0160797,-8989.90
1717833164.1075847,-8989.88
1717833164.1991498,-8989.12
1717833164.291232,-8989.60
1717833164.3833537,-8989.24
1717833164.4744046,-8988.78
1717833164.567992,-8988.88
1717833164.6576262,-8989.18
1717833164.7511299,-8989.24
1717833164.8348982,-8989.36
1717833164.9350965,-8989.30
1717833165.0183482,-8989.46
1717833165.1161246,-8989.94
1717833165.2079935,-8990.42
1717833165.3038416,-8989.82
1717833165.3909936,-8990.46
1717833165.4869814,-8990.96
1717833165.5687087,-8990.50
1717833165.670975,-8990.26
1717833165.7642257,-8990.28
1717833165.854955,-8989.82
1717833165.9477553,-8989.30
1717833166.039031,-8989.62
1717833166.1319957,-8990.18
1717833166.222942,-8991.20
1717833166.3161385,-8990.56
1717833166.4068718,-8989.90
1717833166.4998834,-8989.98
1717833166.5912037,-8990.58
1717833166.6830459,-8991.02
1717833166.7688248,-8991.42
1717833166.8674667,-8991.50
1717833166.958465,-8991.06
1717833167.0508974,-8991.06
1717833167.135266,-8990.80
1717833167.2348359,-8991.04
1717833167.3230145,-8990.90
1717833167.4196367,-8990.68
1717833167.5077825,-8990.78
1717833167.59937,-8990.82
1717833167.6913588,-8989.94
1717833167.7873144,-8990.34
1717833167.874154,-8990.70
1717833167.9705472,-8990.14
1717833168.0522158,-8989.74
1717833168.149537,-8990.40
1717833168.2409825,-8990.68
1717833168.3384366,-8990.32
1717833168.4315557,-8990.12
1717833168.5223942,-8989.98
1717833168.6155503,-8989.42
1717833168.7063718,-8989.00
1717833168.7993333,-8988.92
1717833168.891339,-8989.10
1717833168.9831524,-8989.18
1717833169.0751328,-8989.10
1717833169.1666746,-8988.90
1717833169.2502494,-8988.04
1717833169.3511548,-8988.24
1717833169.4416542,-8989.40
1717833169.5351777,-8988.90
1717833169.6263504,-8988.02
1717833169.7167878,-8988.20
1717833169.808214,-8988.54
1717833169.899402,-8989.24
1717833169.9915304,-8989.54
1717833170.0831492,-8989.12
1717833170.174915,-8989.82
1717833170.2661893,-8989.88
1717833170.357948,-8988.48
1717833170.455337,-8988.82
1717833170.5409682,-8989.16
1717833170.635878,-8988.98
1717833170.725188,-8987.98
1717833170.815828,-8987.82
1717833170.9084547,-8988.08
1717833171.006319,-8988.68
1717833171.0991433,-8988.66
1717833171.1908517,-8988.58
1717833171.2830515,-8988.66
1717833171.3749979,-8988.48
1717833171.4665074,-8988.52
1717833171.5579445,-8989.44
1717833171.6504467,-8989.44
1717833171.7352297,-8989.06
1717833171.8335078,-8989.14
1717833171.924885,-8988.92
1717833172.0187464,-8988.66
1717833172.1082199,-8988.92
1717833172.2026758,-8988.84
1717833172.293616,-8988.20
1717833172.3827534,-8988.58
1717833172.4711065,-8987.82
1717833172.5670986,-8987.48
1717833172.6506624,-8987.84
1717833172.749596,-8987.44
1717833172.8461068,-8986.80
1717833172.9375215,-8986.66
1717833173.030009,-8987.20
1717833173.116434,-8987.60
1717833173.2124858,-8986.66
1717833173.306271,-8987.14
1717833173.395262,-8987.68
1717833173.4891708,-8986.98
1717833173.5822873,-8985.98
1717833173.6731317,-8986.68
1717833173.7663267,-8986.84
1717833173.8555603,-8986.06
1717833173.9501147,-8986.46
1717833174.0411973,-8986.56
1717833174.133332,-8986.98
1717833174.2223034,-8986.68
1717833174.316885,-8986.52
1717833174.4087923,-8986.34
1717833174.4999592,-8987.46
1717833174.5902102,-8986.84
1717833174.6833055,-8986.48
1717833174.771792,-8987.04
1717833174.8668838,-8986.98
